word,Sanskrit,Hindi,Odiya
स्वर्,शास्त्रेषु स्वर्यत इति स्वः । शास्त्रगम्यः ।  पुण्यलोकः,शास्त्र में कहे जाने से स्वः। स्वर्ग । पुण्यलोक  (शास्त्रगम्य,शास्त्ररे कुहायाइथिबारु   स्वः । स्वर्ग ।  पुण्यलोक   सास्त्रगम्य
स्वर्ग,सुखं गम्यते इति स्वर्गः । सुखलोकः ।,अच्छीतरह रहने का स्थान होने से स्वर्ग ।  सुखस्थान,उत्तम पूपे सुखकु सम्पादम एठारे करायिबा योगु   स्र्गः ।
स्वर्ग,सुष्ठु अर्ज्यते इति स्वर्गः ।,अच्छीतरह सुखको सम्पाद यहाँ किया जाने से स्वर्गः ।,उत्तम रुपे रहिबा स्थान हेबा कारणरु   स्वर्ग । सुखस्थान।
स्वर्ग,सुष्ठु ऋज्यते स्थीयते अस्मिन्निति स्वर्गः । सुख स्थानम् ।,सुख की ओर जाने से   स्वर्गः ।  सुखलोकः,सुख आडकु यिबा योगु   स्वर्गः ।  सुखलोकः
स्वर्ग,स्वः इति गीयते इति स्वर्गः ।,स्वः  स्वः  शुभप्रद केलिए ऐसे गान किया जाने से   स्वर्गः ।,"स्वः, श्वः मङ्गलनिमित्त एपरि गान करा यिबा योगु   स्वर्गः ।"
नाक,कं सुखं तन्न भवती इत्यकं  तन्नास्ति अत्रेति नाकः ।  सुखस्थानम्,क  ब्रह्म उसका अभाव न होने से नाक । स्वर्ग। ब्रहनस्थान,"क सुख, येउँथिरे सुख न थाए ताहा अक येउँठारे अक न थाए ताहा नाक   स्वर्ग । सुखस्थान"
नाक,कः ब्रह्मा तदभावः नात्र इति नाकः  ब्रह्मस्थानम्  ।,क सुख जिस में सुख नहीं है वह अक जहाँ अक नहीं उस स्थान को नाक कहते है । स्वर्ग ।  सुखस्थान,"क, ब्रह्म तार अभाव न हेबा कारणरु   नाक । स्वर्ग ।  ब्रह्मस्थान"
त्रिदिव,तृतीया दिवो लोकः त्रिदिवः । तृतीयलोकः ।,तीन देवों का लोक होने से त्रिदिव । स्वर्ग  हरिहरब्रह्मारव्या  तिमूर्तिस्थान,तिन देवंकरस्थान हेबा कारणरू   त्रिदिव । स्वर्ग  हरिहरब्रह्मारव्या   त्तिमूर्तिस्थान
त्रिदिव,हरिहरब्रह्माख्याः त्रयः दीव्यन्ति अत्र इति ।  त्रिमूर्तिस्थानम्,तुतीयदेवलोक त्रिदिव। तृतीयलोक,तृतीयदेवलोक   त्रिदिव । स्वर्ग ।  तृतीयलोक
त्रिदशालय,त्रिदशानालयः त्रिदशास्थानम् ।,तीस देवताओं का आलय।  त्रिदशस्थान  स्वर्ग ।,तिरिश देवतांकर आलय    त्रिदशस्थान  स्वर्ग ।
सुरलोक,सुराणां लोकः सुरलोकः । देवलोकः ।,सुरों का लोक स्वर्ग। देवलोक ।,सुरकंर लोक   स्वर्ग । देवलोक
द्यो,दीव्यन्ति अस्यामिति द्यौः । क्रीडालोकः ।,चमकने से  द्योतन्तो   द्यो स्वर्ग। चमकाने वाले  जगमगाने वाले प्रकाशितकरने करने वाले,चमकिवा कारणरु   द्योतन्ते    द्यो   स्वर्ग ।
द्यो,द्योतन्ते अस्यां द्यौः ।, दीव्यति  स्वयं प्रकाशित होने से द्यो ।, दीव्यति  स्वयं प्रकाशित हेउ थिवारु द्यो ।
दिव्,दीव्यन्ति अस्यां इति द्योः । क्रीडास्थानम् ।,चमकने से  खेलने से उसमें दिव स्वर्ग।,चमकिवा अथबा खेलिबा कारणरु सेठारे ।  क्रीडास्थान
दिव्,None, दीव्यति  स्वयं प्रकाशित होने से दिव्।, दिव्यति स्वयं प्रकाशित हेउ थिवारु दिव् ।
त्रिविष्टप,तृतीय च तत् विष्टपं च त्रिविष्टपम् । विशन्ति अस्मिन् सुकृतिनः इति विष्टपम् ।,तीसरा  विष्टप  लोक स्वर्ग।,तृतीय विष्टप  लोक   स्वर्ग ।  तृतीयलोक
अमर,न म्रियते इत्यमरः । अमरः ।,न मरने से अमर ।,न मरिबा कारणरु   अमर ।
अमर,नास्तिमरः यस्य स अमरः ।,नहिं मर जिसका अमर।  मरणरहित,मरण नाहिं याहार   अमर ।  मरणरहित
निर्जर,जरायाः निष्क्रान्तः ।,जरा जिसका निरस्त निर्जर ।,जरा याहार निरस्त होइधि   निर्जर ।
निर्जर,न विद्यते जरा यस्य सः निर्जरः,जो बार्द्धकय से परे है ।,याहार बार्द्धक्य नाहिं   निर्जर ।  बाद्धक्यरहित
देव,दीव्यन्तीति देवः । देवः,प्रकाशितकरने वाला देव।  प्रकाशकारी,प्रकाशितकरिबा बाला   देव ।  प्रकाशकारि
त्रिदश,तिस्रः दशाः जन्मस्थितिविनाशाख्या यस्यः ।,जन्मस्थितिविनाशात्मिक त्रयोदशा जिसका त्रिदश।,जन्मस्थितिविनाशात्मक त्रयदशा याहार ।  तीनदशा  ।
त्रिदश,तिस्रः दशाः बाल्यकौमारयौवनानियस्य सः । तदतिरिक्तवयोवस्था नास्ति इत्यर्थः ।,तीस उमर जिसका त्रिदश ।,तिरश वर्ष याहार   त्रिदश ।
त्रिदश,तृतीया दशा यौवनाख्या सदा यस्य त्रिदशः ।,तीसरा दशा  अवस्था  यौवनवस्था जिसका सदा रहता है ।,तृतीयदशा यौवनावस्था याहार ।
त्रिदश,त्रिदशपरिमाणं वयः यस्य त्रिदशः ।,वाल्यकौमारयौवनावस्या जिसका। तीनदशा,वाल्यकौमार यौवनावस्था याहार ।  तीनदशा
विबुध,विशिष्टः बुधः यस्य । पण्‍डितः ।,विशिष्ट बुध जिसका पण्डित ।,विशिष्ट बुध याहार   पण्डित ।
विबुध,विशेषेण बुध्यते इति विबुधः ।,विशेष रूप से समझने वाले ।,विशेष रूपरे बुझिबा बाला   विबुध ।
सुर,भक्त्या दत्तं हविरादिकं सुष्टु राति गुडणाति इति सुरः ।,अच्छी तरह प्रकाशित होने वाला ।,इच्छानुयायी फल देबा बाला ।
सुर,शुभं राति बृवीति इति सुरः ।,इच्छानुसारफल देने वाला।,भक्तर हविरादिकु उत्तमरूपे ग्रहण करिबा कारणरु ।
सुर,समुद्रमथनोभ्दवा सुरा यस्य अस्तीति सः ।,भक्त का हविरादिकों उत्तमरूप में ग्रहण करने से।,भल भावरे प्रकाशित हेवा ।
सुर,सुरतीति सुरः । ऐश्वर्यशालीः ।,शुभ कहने से ।,शुभ करिबा कारणरू ।
सुर,सुष्टु राजते इति सुरः ।,समुद्रमथन से उभ्दव सुरा जिसका है।,समुद्रमथनरू उद्भव सुरा याहार अछि ।
सुपर्वन्,सुष्ठु पर्व उत्सवः यस्य सः ।,उत्तम रूप में जो कामको पुरण करते ।,उत्तम रूपे यिए कमनाकु पुरण करे ।
सुपर्वन्,सुष्ठु पर्व चरितम् यस्य सः ।,सुष्ठु अंगुलि ग्रन्थि जिसका ।,सुष्ठु अंगुलि ग्रन्थि याहार ।
सुपर्वन्,सुष्ठु पर्वाणि अङ्गुलयादिग्रन्थय यस्य सः ।,सुष्ठु चरित जिसका ।,सुष्ठु चरित जिसका ।
सुपर्वन्,सुष्ठु पूरयन्ति कामान् पालयन्तीति वा ।,सुष्ठुपर्व उत्सव जिसका ।,सुष्ठुपर्व उत्सव याहार ।
सुमनस्,शोभनं मनः यस्य सः सुमनाः ।,शोभन मन जिसका ।,शोभन मन याहार ।
सुमनस्,सुष्ठु मनुते इति सुमनाः ।,सुष्ठु मनन से सुमनस् ।,सुष्ठु मननरू   सुमनस्   देव ।
त्रिदिवेश,त्रिदिवस्य ईशः ।,तिन लोकों ईश ।,तिन लोकर यिए ईश ।  त्रिलोकेश
दिवौकस्,दिवं ओकः यस्य दिवौकाः ।,स्वर्ग जिसका घर ।,स्वर्ग याहार घर ।
आदितेय,अदितेः पुत्रः,आदिति के पुत्र ।,अदितिङ्कर पुत्र ।  अदितिपुत्र
दिविषद्,दिवि सीदति वर्तते इति दिविषद् ।,स्वर्गलोक में विलास करने वाले ।,स्वर्गरे बिलासरे येउँमाने रूहन्ति ।  स्वर्गविलाशी
